Case,Question,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Correct Answer
"Ein 81-jähriger Patient stellt sich in einem peripheren Krankenhaus mit seit 3 Tagen zunehmenden Bauchschmerzen vor. Anhand der dort durchgeführten CT des Abdomens wird die Verdachtsdiagnose einer Hohlorganperforation gestellt. Aufgrund seiner kardialen Komorbidität (Z. n. Aortenklappenersatz, Schrittmacher bei AV-Block, permanentes Vorhofflimmern) wird der Patient in das Universitätsklinikum verlegt. Bei der Aufnahme im Notfallzentrum ist der Patient wach und orientiert; er zeigt ein aufgetriebenes Abdomen mit generalisiertem Druckschmerz und Abwehrspannung. Es wird die Indikation zur notfallmäßigen Laparotomie gestellt.",Welcher der folgenden Arzneistoffe wird in der Therapie der abdominellen Sepsis als Vasopressor der 1. Wahl empfohlen?,0) Noradrenalin,1) Adrenalin,2) Vasopressin,3) Dobutamin,4) Dopamin,0
"Eine 18-jährige Patientin wird nach einem generalisierten tonisch-klonischen Anfall in die Notaufnahme gebracht. Die sonst gesunde Patientin berichtet auf Ihre Fragen von häufigen, plötzlichen und unwillkürlichen Zuckungen beider Arme und Schultern von höchstens wenigen Sekunden Dauer, bei denen ihr auch schon Dinge aus der Hand gefallen seien. Der klinisch-neurologische Befund ist bis auf einen lateralen Zungenbiss normal.",Welche der folgenden zusätzlichen Angaben würde die Annahme einer juvenilen myoklonischen Epilepsie am ehesten stützen?,0) eine Intelligenzminderung,1) Auftreten dieses epileptischen Anfalls in einer stressbelasteten Situation,2) Auftreten dieses epileptischen Anfalls am frühen Morgen nach dem Erwachen,3) Auftreten dieses epileptischen Anfalls während der Nacht,4) Auftreten dieses epileptischen Anfalls nach körperlicher Betätigung,2
"Eine 18-jährige Patientin wird nach einem generalisierten tonisch-klonischen Anfall in die Notaufnahme gebracht. Die sonst gesunde Patientin berichtet auf Ihre Fragen von häufigen, plötzlichen und unwillkürlichen Zuckungen beider Arme und Schultern von höchstens wenigen Sekunden Dauer, bei denen ihr auch schon Dinge aus der Hand gefallen seien. Der klinisch-neurologische Befund ist bis auf einen lateralen Zungenbiss normal.",Welcher der folgenden EEG-Befunde würde die Annahme einer juvenilen myoklonischen Epilepsie am ehesten stützen?,0) generalisierte Polyspike-Wave-Entladungen,1) Hypsarrhythmie,2) Burst-Suppression-Muster,3) temporale intermittierende Verlangsamungen,4) K-Komplexe,0
"Eine 34-jährige, ausgeprägt adipöse Patientin wird in die Notaufnahme bodengebunden per Rettungswagen eingeliefert. Sie klagt seit einigen Stunden über Luftnot. Weitere Krankheiten sind nicht bekannt. Die Patientin ist vor 5 Jahren aus Syrien geflüchtet und befindet sich derzeit in Quarantäne, weil sie 2 Tage zuvor von einem Besuch bei ihren Eltern in der Türkei zurückgekehrt ist. Anamnestisch ist zu erfahren, dass die Patientin in der 29. Schwangerschaftswoche zur Welt kam. Aus den unvollständigen Unterlagen geht hervor, dass sie über mehrere Tage beatmet wurde und einige Wochen auf der neonatologischen Intensivstation lag. Die weitere Entwicklung war weitgehend unauffällig, der Impfstatus ist vollständig. Im Kleinkindalter erfolgte eine Tonsillektomie, vor 2 Jahren eine Appendektomie. Die Patientin lebt in einer festen Partnerschaft; da sie eine Schwangerschaft vermeiden möchte, nimmt sie die „Pille“ ein. Trotz teigiger Konsistenz und vergrößerten Umfangs des Halses der Patientin palpiert die diensthabende Ärztin eine groß imponierende Schilddrüse. Trotz der bestehenden Adipositas fällt ihr ein vergrößerter Beinumfang rechts auf. Die Patientin beschreibt hier auf Nachfrage ein gewisses Ziehen und Schweregefühl. Aufgrund der geschilderten Symptomatik entscheidet die Ärztin sich zur Veranlassung einer Computertomografie mit intravenöser Kontrastmittelgabe. Da Art und Stärke der klinischen Beschwerden der Patientin eine Verzögerung des Therapiebeginns erlauben, lässt die Ärztin die erforderliche Labordiagnostik noch im Vorfeld durchführen.",Die Bestimmung welches der folgenden Laborparameter ist vor Durchführung einer Kontrastmittel-CT am wahrscheinlichsten erforderlich?,0) Blutglukosekonzentration,1) Kreatininkonzentration im Serum,2) Thromboplastinzeit im Citratplasma,3) Thyreoglobulin im Serum,4) Aktivität der alkalischen Phosphatase im Serum,1
"Eine 34-jährige, ausgeprägt adipöse Patientin wird in die Notaufnahme bodengebunden per Rettungswagen eingeliefert. Sie klagt seit einigen Stunden über Luftnot. Weitere Krankheiten sind nicht bekannt. Die Patientin ist vor 5 Jahren aus Syrien geflüchtet und befindet sich derzeit in Quarantäne, weil sie 2 Tage zuvor von einem Besuch bei ihren Eltern in der Türkei zurückgekehrt ist. Anamnestisch ist zu erfahren, dass die Patientin in der 29. Schwangerschaftswoche zur Welt kam. Aus den unvollständigen Unterlagen geht hervor, dass sie über mehrere Tage beatmet wurde und einige Wochen auf der neonatologischen Intensivstation lag. Die weitere Entwicklung war weitgehend unauffällig, der Impfstatus ist vollständig. Im Kleinkindalter erfolgte eine Tonsillektomie, vor 2 Jahren eine Appendektomie. Die Patientin lebt in einer festen Partnerschaft; da sie eine Schwangerschaft vermeiden möchte, nimmt sie die „Pille“ ein. Trotz teigiger Konsistenz und vergrößerten Umfangs des Halses der Patientin palpiert die diensthabende Ärztin eine groß imponierende Schilddrüse. Trotz der bestehenden Adipositas fällt ihr ein vergrößerter Beinumfang rechts auf. Die Patientin beschreibt hier auf Nachfrage ein gewisses Ziehen und Schweregefühl. Aufgrund der geschilderten Symptomatik entscheidet die Ärztin sich zur Veranlassung einer Computertomografie mit intravenöser Kontrastmittelgabe. Da Art und Stärke der klinischen Beschwerden der Patientin eine Verzögerung des Therapiebeginns erlauben, lässt die Ärztin die erforderliche Labordiagnostik noch im Vorfeld durchführen.","Welches der genannten bildgebenden Verfahren soll nach AWMF-Leitlinie primär zur Bildgebung der tiefen Beinvenenthrombose eingesetzt werden, falls die klinische Diagnostik nicht ausreicht?",0) aszendierende Pressphlebografie nach Hach,1) Kompressionssonografie,2) Kontrastmittelsonografie,3) Computertomografie,4) Magnetresonanztomografie,1
"In der klinisch-genetischen Ambulanz stellt sich ein Paar mit Kinderwunsch vor. Beide Ratsuchenden sind gesund. Die Ratsuchende berichtet, dass ihre Eltern beide von Geburt an taub gewesen seien (gehen Sie davon aus, dass die Wahrscheinlichkeit zu erkranken für homozygote Anlageträger bei 100 % liegt), sie selbst aber keine Hörbeeinträchtigung habe. Sie möchte gerne wissen, wie dieses Phänomen zu erklären sei, da bei beiden Elternteilen molekular nachgewiesen worden sei, dass Genmutationen ursächlich für die Taubheit seien.",Welcher der folgenden Begriffe aus der Formalgenetik erklärt die familiäre Konstellation am ehesten?,0) kodominanter Erbgang,1) Pseudodominanz,2) Unabhängigkeitsregel,3) unvollständige Penetranz,4) variable Expressivität,2
"In der klinisch-genetischen Ambulanz stellt sich ein Paar mit Kinderwunsch vor. Beide Ratsuchenden sind gesund. Die Ratsuchende berichtet, dass ihre Eltern beide von Geburt an taub gewesen seien (gehen Sie davon aus, dass die Wahrscheinlichkeit zu erkranken für homozygote Anlageträger bei 100 % liegt), sie selbst aber keine Hörbeeinträchtigung habe. Sie möchte gerne wissen, wie dieses Phänomen zu erklären sei, da bei beiden Elternteilen molekular nachgewiesen worden sei, dass Genmutationen ursächlich für die Taubheit seien.","Der Ratsuchende gibt an, dass seine Eltern beide heterozygote Anlageträger für die Faktor-V-Leiden-Variante seien.  Nach einer molekulargenetischen Testung stellt sich heraus, dass der Ratsuchende homozygoter Anlageträger der Faktor-V-Leiden-Variante ist.  Seine Partnerin berichtet, dass sie selbst vor Einnahme der „Pille“ auch auf die Faktor-V-Leiden-Variante getestet worden sei, und diese ebenfalls im homozygoten Zustand trage.  Was gilt somit für die gemeinsamen Nachkommen des Paares am ehesten?",0) Alle Kinder werden taub sein.,1) Alle Kinder werden heterozygote Anlageträger der Faktor-V-Leiden-Mutation sein.,2) Alle Kinder werden eine tiefe Beinvenenthrombose bekommen.,3) Keines der Kinder wird ein Normalallel für das Faktor-V-Gen tragen.,4) Keines der Kinder wird eine tiefe Beinvenenthrombose bekommen.,3
,Ein 85-jähriger Patient stellt sich mit Belastungsdyspnoe in einer internistischen Praxis vor.  Der Internist führt eine körperliche Untersuchung durch und auskultiert dabei ein systolisches Herzgeräusch mit Punctum maximum über dem 2. ICR rechts parasternal sowie diskontinuierliche Nebengeräusche beidseits basal über der Lunge.  Welche der genannten Diagnosen ist die wahrscheinlichste?,0) Aortenklappenstenose,1) Aortenklappeninsuffizienz,2) Mitralklappenstenose,3) Mitralklappeninsuffizienz,4) Trikuspidalklappeninsuffizienz,0
,"Eine 78-jährige Frau wird mit Epistaxis vom Rettungsdienst in die Notaufnahme eines Krankenhauses gebracht. Trotz Zusammenpressens der Nasenflügel blutet es kontinuierlich weiter. Die Patientin ist aufgeregt, aber kreislaufstabil.  Aufgrund einer kardialen Vorerkrankung wurde die Patientin 3 Jahre zuvor mit einem Herzschrittmacher mit Defibrillator versorgt. Sie nimmt täglich Edoxaban ein. Allergien oder Medikamentenunverträglichkeiten sind nicht bekannt.  Welche der angegebenen Sofortmaßnahmen sollte am ehesten durchgeführt werden?",0) intravenöse Gabe eines Faktor-Xa-Inhibitors,1) Bestimmung von INR und PTT,2) vordere Rhinoskopie und beidseitige Nasentamponade,3) Gabe eines Erythrozytenkonzentrates,4) Legen einer Bellocq-Tamponade,2
,"Der 4-jährige Peter wird vom Notarzt mit deutlichem in- und exspiratorischen Stridor in die Klinik eingeliefert. Das Kind ist sehr blass, in der Monitorüberwachung findet sich eine mit 130/min deutlich erhöhte Herzfrequenz, der Blutdruck beträgt 65/40 mmHg.  Die begleitende Mutter gibt an, dass das Kind von einer Biene gestochen worden sei und gleich danach zunächst über Juckreiz geklagt habe.  Der Junge hat eine normale Körpertemperatur.  Wie lautet die wahrscheinlichste Diagnose?",0) akute Epiglottitis,1) anaphylaktischer Schock,2) kardiogener Schock,3) septischer Schock,4) Status asthmaticus,1
,"Sie haben Nachtdienst und betreten gegen 5 Uhr ein Patientenzimmer der Wochenbettstation. Das Neugeborene liegt überwärmt auf der Brust der Mutter. Die Mutter ist nach einer anstrengenden Geburt eingeschlafen, nachdem ihre Tochter sich in den frühen Morgenstunden endlich beruhigt hatte.  Sie machen sich Sorgen um das Kind, wecken die Mutter und kommen später zu einem Aufklärungsgespräch über die Prävention des plötzlichen Kindstodes zurück.  Was ist am ehesten ein Risikofaktor für den plötzlichen Kindstod (SIDS) und sollte von den Eltern für ihr Kind im 1. Lebensjahr vermieden werden?",0) Schimmelsporen in der Matratze,1) Schlafen in Bauchlage,2) Mehrfachimpfung,3) Stillen länger als 4 Monate,4) Schlafzimmertemperatur 16-18 °C,1
,"Bei der 63-jährigen Frau M., Verkäuferin in Teilzeit, ist vor 10 Jahren ein Diabetes mellitus Typ 2 diagnostiziert worden. Sie war schon immer etwas übergewichtig, und es ist ihr nicht gelungen, ihr Gewicht zu reduzieren. Dieses beträgt aktuell 80 kg bei einer Körpergröße von 164 cm.  Die Patientin wurde initial 2-mal täglich mit einem Biguanid (Metformin 1000 mg) behandelt. Seit 2 Jahren spritzt sie abends zusätzlich 20 IE eines langwirksamen Basalinsulins. Ein Bluthochdruck wird mit einem Kalziumkanalblocker (Amlodipin 5 mg) und einem ACE-Inhibitor (Ramipril 5 mg) behandelt.  Sie kommt heute im Rahmen des Disease-Management-Programms Diabetes zu ihrer vierteljährlichen Kontrolle. Am Vortag wurde Blut abgenommen, der HbA1c beträgt 7,2 %.  Im Rahmen der regelmäßigen Untersuchungen soll bei Frau M. erfasst werden, ob eine Hypoglykämie aufgetreten ist.  Welche(s) der genannten Symptome ist/sind am wenigsten typisch für eine mögliche Hypoglykämie?",0) Heißhunger,1) Tremor,2) Unruhe und Angst,3) Konzentrationsstörung,4) Bradykardie,4
,Die 13-jährige Melanie klagt seit über 1 Jahr immer wieder über Bauchschmerzen und Durchfälle.  Welche der folgenden anamnestischen Angaben würde am ehesten auf das Vorliegen einer chronisch-entzündlichen Darmerkrankung hindeuten?,0) Beginn der Beschwerden im Urlaub am Mittelmeer,1) Erbrechen fester Nahrungsbestandteile,2) gelegentliche (Druck-)Schmerzen im Oberbauch,3) Auftreten der Diarrhö nur tagsüber,4) Störung von Wachstum und Pubertätsentwicklung,4
,"Sie finden bei einer 75-jährigen Patientin, die in der Notaufnahme der Augenklinik eingeliefert wird, rechtsseitig eine leichte gemischte Rötung, d. h. Kongestion in Bindehaut und Episklera; die Hornhaut ist matt, die Pupille mittelweit und lichtstarr.  Die Patientin klagt über Übelkeit und Erbrechen, die seit mehreren Tagen bestehen. Auf Nachfragen gibt die Patientin ferner an, mit dem rechten Auge um Lichtquellen herum Lichthöfe zu sehen.  Bei der Augeninnendruckmessung finden Sie einen Wert von über 45 mmHg; die Vorderkammer ist abgeflacht, und der Kammerwinkel kann bei der gonioskopischen Untersuchung nicht eingesehen werden.  Sie stellen die Diagnose eines primären akuten Winkelblockglaukoms. Zudem besteht eine Cataracta provecta.  Im Rahmen der Therapie zur Augendrucksenkung ist initial am ehesten welche der folgenden Maßnahmen zu ergreifen?",0) Applikation von Latanoprost-Augentropfen,1) Applikation von 500 mg Acetazolamid,2) Kataraktoperation,3) Pars-plana-Vitrektomie,4) Zyklokryokoagulation,1
,Eine 42-jährige Patientin mit einem seit 3 Jahren bekannten M. Crohn hat seit 4 Wochen mehrmals täglich auftretende starke wässrige Diarrhöen und eine damit verbundene allgemeine körperliche Schwäche. Zusätzlich klagt sie über häufige nachts auftretende Muskelkrämpfe.  Durch den Mangel an welchem der genannten Nährstoffe sind diese am ehesten verursacht?,0) Kalzium,1) Kalium,2) Vitamin D,3) Zink,4) Magnesium,4
,"Eine Pharmareferentin preist Ihnen ein neues Cholesterin-senkendes Medikament an, welches das Auftreten kardiovaskulärer Ereignisse bei Patienten mit erhöhten Cholesterinserumkonzentrationen um 1/3 erniedrigt.  Dem überlassenen Werbematerial entnehmen Sie, dass zur Ermittlung der Wirkung des neuen Medikamentes eine 2-armige randomisierte kontrollierte Studie durchgeführt wurde. Die Ereignisrate (Tod, Herzinfarkt, Schlaganfall) nach 3 Jahren lag in der Kontrollgruppe mit Standardbehandlung bei 15 %, in der Verumgruppe mit dem neuen Medikament bei 10 %. Die NNT („number needed to treat“) ist in den Unterlagen leider nicht angegeben.  Welche NNT ergibt sich auf Basis der vorliegenden Angaben am ehesten?","0) 0,67",1) 3,2) 5,3) 15,4) 20,4
,Eine 34-jährige Frau stellt sich in der 36+3 Schwangerschaftswoche mit seit einigen Tagen zunehmendem Juckreiz an Händen und Füßen in der Klinik vor.  Inspektorisch zeigt sich kein auffälliger Befund. Sie vermuten eine Schwangerschaftscholestase.  Welcher der folgenden Befunde ist am ehesten typisch und prognostisch relevant für eine Schwangerschaftscholestase?,0) Erhöhung der γ-GT-Aktivität im Serum,1) Erhöhung der Gallensäuren-Konzentration im Serum,2) Erhöhung der IgE-Konzentration im Serum,3) vermehrte Anzahl eosinophiler Granulozyten in der Blutausstrichdifferenzierung,4) CTG-Veränderung mit sinusoidalem Muster,1
,"Sie arbeiten seit Kurzem als Ärztin oder Arzt in einer Gemeinschaftspraxis für ambulantes Operieren. Die leitende Ärztin beauftragt Sie, sich um den Hygieneplan der Praxis zu kümmern. Ein wesentliches Ziel des Hygienemanagements in medizinischen Einrichtungen ist die Prävention nosokomialer Infektionen. Im Hygieneplan sind Standardverfahrensanweisungen zur Hygiene festzulegen.  Welche der folgenden Maßnahmen ist am ehesten die wichtigste, um Infektionsübertragungen in medizinischen Einrichtungen zu verhindern?",0) „antibiotic stewardship“,1) Reinigung und Desinfektion von Flächen,2) Trennen der OPs in septische und aseptische Operationseinheiten,3) Händehygiene einschließlich der Händedesinfektion,4) Tragen von Schutzausrüstung mit Einmalkittel und Einmalschutzhandschuhen,3
,"Ein Patient mit einer akuten lymphatischen Leukämie leidet an einer Harnwegsinfektion.  In der mikrobiologischen Untersuchung wird ein Pseudomonas aeruginosa identifiziert. Es handelt sich um ein Isolat, das ein Carbapenem-hydrolysierendes Enzym produziert.  Welches der nachfolgend genannten Antibiotika ist aufgrund des Carbapenem-hydrolysierenden Enzyms in der Therapie unwirksam?",0) Ciprofloxacin,1) Meropenem,2) Fosfomycin,3) Amikacin,4) Gentamicin,1
,Sie leiten bei einer 24-jährigen Patientin eine Allgemeinanästhesie zur laparoskopischen Appendektomie ein.  Welche der folgenden Aussagen zu den im Rahmen der Allgemeinanästhesie eingesetzten Muskelrelaxanzien trifft am ehesten zu?,"0) Succinylcholin bindet an n-Acetylcholinrezeptoren, ohne ein postsynaptisches Potenzial auszulösen.",1) Mivacurium ist ein Histaminliberator und kann zu Bronchospasmen führen.,2) Rocuronium hat eine besonders lange Anschlagzeit und ist daher klinisch wenig gebräuchlich.,"3) Eine teilweise, residuelle neuromuskuläre Blockade nach dem Einsatz von Rocuronium kann ohne wesentliche Nebenwirkungen mit Neostigmin antagonisiert werden.",4) Atemfrequenz und Atemzugvolumen bei Narkoseausleitung sind die einzige Option der Erkennung einer Restblockade.,1
,Nach chirurgischer Sanierung eines akzidentellen rechtsseitigen Akustikusneurinoms wird ein 57-jähriger Mann mit einer Fazialisparese und unvollständigem forciertem Lidschluss rechts konsiliarisch bei Ihnen vorstellig.  Welche der folgenden Angaben zur Therapie und/oder Prognose der Fazialisparese trifft am ehesten zu?,0) Eine Therapie ist bei sonst blandem Befund nicht erforderlich.,1) Die Gabe von Tränenersatzmitteln zur Nacht für 1 oder 2 Wochen bis zur vollständigen Regression des Ektropiums ist sinnvoll.,2) Benetzende Lokaltherapeutika wie Tropfen bzw. Gele am Tag und eine Salbe zur Nacht sind bis auf Weiteres erforderlich.,"3) Das ständige Tragen eines Uhrglasverbandes ist dauerhaft erforderlich, da sich Fazialisparesen in aller Regel nicht zurückbilden.","4) Eine chirurgische Sanierung ist dringend indiziert, da schwere Komplikationen sonst unvermeidbar sind.",2
,"Bei Patienten mit arterieller Hypertonie bezieht sich der Hypertonie-mediierte Organschaden auf strukturelle oder funktionelle Veränderungen in Arterien oder Endorganen, die durch die Erkrankung verursacht werden. Der Hypertonie-mediierte Organschaden ist ein Marker für die präklinische oder asymptomatische kardiovaskuläre Erkrankung und bedeutsam für die Risikostratifizierung und Therapieentscheidung.  Welche der genannten Veränderungen gehört am wenigsten zum Bluthochdruck-mediierten Organschaden?",0) linksventrikuläre kardiale Hypertrophie,1) erhöhte Atemvariabilität der V. cava inferior,2) erhöhte Pulswellengeschwindigkeit,3) erniedrigter Knöchel-Arm-Index,4) reduzierte geschätzte glomeruläre Filtrationsrate,1
,"Bei einem 10-jährigen Mädchen wird nach Zykloplegie (temporärer Akkommodationslähmung) ein Refraktionsfehler von minus 3 Dioptrien beidseits bestimmt.  Für den nicht korrigierten Zustand der Augen des Kindes ohne vorausgegangene Zykloplegie gilt am ehesten, dass","0) mit beiden Augen akkommodiert werden muss, um in einem Abstand von 33 cm scharf lesen zu können",1) ohne Akkommodation im Unendlichen scharf gesehen werden kann,2) ohne Akkommodation in einem Abstand von 10 cm scharf gesehen werden kann,3) die Akkommodation in Zukunft durch Naharbeiten regelmäßig trainiert werden sollte,4) eine weitere Zunahme der Kurzsichtigkeit während der Pubertät wahrscheinlich ist,4
,"Ein 14-jähriger Jugendlicher wird wegen eines seit mehreren Wochen bestehenden schmerzlosen Tastbefundes am Hals beim Kinder- und Jugendarzt vorgestellt.  Rechtsseitig vor dem M. sternocleidomastoideus besteht eine etwa 4 cm im Durchmesser umfassende Schwellung, die nach Palpation und Sonografie als Lymphknotenvergrößerung gedeutet wird. Der Allgemeinzustand des Patienten ist nicht beeinträchtigt, eine Gewichtsabnahme trat nicht auf, es besteht kein Fieber.  Zur weiteren Diagnostik und Therapie wird der Patient in eine Kinderklinik aufgenommen. Infektionsserologische Untersuchungen verlaufen negativ (EBV, Bartonella henselae, Toxoplasmose), ebenso die Tuberkulose-Diagnostik mittels Interferon-Gamma-Freisetzungstest und Tuberkulin-Hauttest.  Die Eltern beraten mit der Stationsärztin über das weitere Vorgehen.  Welches weitere Vorgehen ist im vorliegenden Fall am ehesten angezeigt?",0) Zur Gewebeuntersuchung ist eine Zytologie nach Feinnadelpunktion ausreichend.,1) Bei der nur einseitigen Lymphknotenvergrößerung ist eine invasive Diagnostik wegen des guten Allgemeinzustandes nicht notwendig.,"2) Eine Lymphknotenbiopsie sollte geplant werden, wenn die Schwellung im nächsten halben Jahr weiter zunimmt.",3) Der unerklärte Lokalbefund rechtfertigt eine offene Biopsie und feingewebliche Untersuchung.,4) Vor einer Lymphknotenbiopsie sollte eine Ganzkörper-Computertomografie zur Entdeckung anderer vergrößerter Lymphknoten erfolgen.,3
,"Ein 34-jähriger Kfz-Mechaniker stellt sich wegen einer Schwäche des rechten Beines und der linken Hand vor. Seit 2 Tagen hänge auch der linke Mundwinkel herab. Bereits seit 2 Wochen habe er sehr unangenehme vor allem nächtliche reißende Schmerzen, deretwegen er nachts aufwache. Diese Schmerzen seien überwiegend im linken Arm und rechten Bein lokalisiert und hätten sich durch Paracetamol kaum beeinflussen lassen. Auf gezieltes Befragen berichtet der Patient, dass er regelmäßig Mountainbike fahre und dabei vor allem Cross-Country-Touren im Wald unternehme.  Bei der klinisch-neurologischen Untersuchung zeigt sich eine inkomplette Fazialisparese links vom peripheren Typ mit inkomplettem Lidschluss und Mundastschwäche. Es bestehen Paresen der Fingerspreizung und der Daumenadduktion auf der linken Seite. Rechtsseitig liegt eine Fußhebeschwäche vor. Der Trömner-Reflex ist linksseitig herabgesetzt bei ansonsten seitengleich lebhaften Muskeleigenreflexen. Sensible Ausfälle finden sich nicht.  Welche Diagnostik wird am ehesten die Ursache klären?",0) zerebrale MRT,1) CT nach Myelografie,2) Suche nach antineuronalen Antikörpern im Serum,3) Liquoruntersuchung,4) Elektroneurografie,3
,"Eine 65-jährige Patientin stellt sich in der Praxis ihres Hausarztes vor. Sie habe 3 Tage zuvor eine „Knorpelspritze“ in das linke Kniegelenk bekommen. Wenige Stunden nach der Injektion sei das Gelenk angeschwollen und rot geworden, zudem sei es sehr schmerzhaft.  Bei der körperlichen Untersuchung liegt ein ballonartig aufgetriebenes Gelenk vor, mit massiver Einschränkung der Beweglichkeit, einem starken lokalen Druckschmerz, einer ausgeprägten Rötung des gesamten Kniegelenkes und Überwärmung.  Welche der angegebenen Vorgehensweisen ist zur Sanierung des Gelenkinfektes der Patientin am vordringlichsten indiziert?",0) Ganzkörperfokussuche nach der Infektquelle,1) notfallmäßige OP-Indikationsstellung (Arthroskopie),2) symptomatische Maßnahmen einschließlich Kühlung,3) Gabe eines Breitbandantibiotikums und Verlaufskontrolle nach weiteren 3 Tagen,4) Ruhigstellung des Kniegelenkes mit einer Orthese,1
,"Ein 35-jähriger Patient wird wegen seit 6 Wochen bestehenden Fiebers in das Universitätsklinikum eingewiesen.  Vor allem abends steigt die Temperatur auf bis zu 39,5 °C, und es zeigt sich ein intermittierender Verlauf. Als zusätzliche Symptome treten Muskel- und Gelenkschmerzen auf, ohne dass Gelenke geschwollen sind.  Die bisher durchgeführten Untersuchungen zeigen eine hohe Entzündungsaktivität (CRP 108 mg/L, BSG 96 mm in der 1. Stunde), allerdings kann keine Infektion als Ursache der Beschwerden festgestellt werden.  Auch ergibt die Tumorsuche (Gastroskopie, Koloskopie, Abdomensonografie und Röntgenaufnahme des Thorax) keinen Anhalt für das Vorliegen einer Neoplasie.  Der Patient hat in den letzten Wochen 3 kg an Gewicht abgenommen, und es zeigt sich unverändert die hohe Entzündungsaktivität zusammen mit einer neu aufgetretenen Anämie (Hb 6,9 mmol/L, Hkt 35 %). Nachmittags fällt ein lachsfarbener Hautausschlag am Stamm auf, der immer nur zusammen mit dem Fieber auftritt.  Es kann schließlich die Diagnose eines M. Still des Erwachsenen gestellt und eine Therapie mit einem Glukokortikoid (1 mg/kg KG) begonnen werden. Allerdings kann die Glukokortikoiddosis wegen eines Fieberrezidivs nicht auf unter 15 mg/d gesenkt werden.  Welches der folgenden Therapieprinzipien steht am ehesten zur Verfügung, um die Entzündungsreaktion und die klinischen Beschwerden bei dem M. Still des Patienten zu reduzieren und Glukokortikoide einzusparen?",0) Basistherapie mit Leflunomid,1) Hemmung der Zell-Zell-Kommunikation mit Abatacept,2) Hemmung des Interleukin-1-Signalwegs mit Canakinumab,3) Elimination der B-Lymphozyten mit Rituximab,4) Hemmung des Interleukin-23-Signalwegs mit Ustekinumab,2
,"In der Notaufnahme wird eines Abends um 20.30 Uhr ein Patient mit dem führenden Symptom Dyspnoe vorgestellt. Der Patient beschreibt produktiven Husten mit gelbgrünlichem Auswurf.  Anamnestisch gibt er an, er sei bis vor 4 Tagen gut belastbar gewesen, aktuell jedoch kaum in der Lage, selbständig wenige Meter zu gehen. Der Patient ist 52 Jahre alt.  6 Jahre zuvor hatte er eine Spenderniere bekommen, welche bislang eine gute Funktion zeigte. Aktuell beschreibt der Patient jedoch, dass er sehr wenig ausscheide.  Es wurden bereits folgende Befunde in der Notaufnahme erhoben: Die peripher gemessene Sauerstoffsättigung beträgt 89 %, die Körpertemperatur aktuell 39,2 °C. Blut für die Bestimmung von Laborwerten wurde abgenommen, die Ergebnisse stehen noch aus.  Nach Auskultation der Lungen wird im Gesamtbild die Verdachtsdiagnose einer Pneumonie gestellt.  Wie kann die Diagnose am ehesten gesichert werden?  Durch",0) arterielle Blutgasanalyse,1) Bestimmung des NT-proBNP und der Kreatinin-Clearance,2) radiologische Bildgebung der Lunge,"3) Bestimmung von LDH, Leukozyten und D-Dimeren",4) Lungenfunktionsuntersuchung im Bodyplethysmografen,2
,Ein Patient erleidet eine Lebensmittelintoxikation nach Verzehr von gekochtem Reis. Das Hauptsymptom Erbrechen tritt 4 Stunden nach dem Verzehr auf.  Welche(r) der nachfolgend genannten Erreger ist/sind am ehesten mit der Erkrankung verknüpft?,0) Noroviren,1) Bacillus cereus,2) Salmonellen,3) EHEC (enterohämorrhagische E. coli),4) Shigellen,1
,"Sie haben Ihren PJ-Abschnitt in der Inneren Medizin begonnen und sollen im Journal-Club der Klinik über den möglichen Nutzen von Neuraminidase-Inhibitoren bei Influenza referieren. Bei Ihrer Recherche finden Sie ein Cochrane-Review zum Thema (Jefferson T, et al. The Cochrane database of systematic reviews. Neuraminidase inhibitors for preventing and treating influenza in healthy adults and children (2014)(4)). Der Artikel enthält einen Forest-Plot der Metaanalyse zur Hospitalisierung, der in der unten abgebildeten Grafik dargestellt ist.  Welche der folgenden Aussagen zur Wirksamkeit von Oseltamivir zur Verhinderung von Krankenhausaufenthalten kann aus diesem Forest-Plot am ehesten abgeleitet werden?",0) Es liegt keine Evidenz für eine signifikante Reduktion des Risikos vor.,1) Die relative Risikoreduktion ist klinisch relevant.,2) Die absolute Risikoreduktion beträgt 8 %.,"3) Die Einzelstudie WV15812 weist nach, dass Oseltamivir keinen Effekt hat.",4) Die Einzelstudie WV15819 liefert einen deutlichen Hinweis auf eine Reduktion des Risikos.,0
,"In der humangenetischen Ambulanz werden Ihnen 3 Monate alte Säuglinge vorgestellt, ein Junge und ein Mädchen, die Zwillinge sind. Bei dem Jungen wurde gerade eine Mukoviszidose diagnostiziert und durch Nachweis von Homozygotie für die sogenannte „Delta-F508“-Mutation im CFTR-Gen molekular gesichert. Beide Elternteile sind klinisch gesund, und die Familienanamnese ist unauffällig.  Wie hoch ist formalgenetisch die A-priori-Wahrscheinlichkeit am ehesten, dass das Mädchen ebenfalls die Delta-F508-Mutation in homozygoten Zustand trägt?",0) etwa 25 %,1) etwa 33 %,2) etwa 50 %,3) etwa 66 %,4) etwa 100 %,0
